FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time	Sample
148203.15625	132364	42788.40234375	39724	316.9800109863281	2903.0400390625	184.25	5559.66015625	924.21002197265625	24416.279296875	4786.73974609375	5336.72998046875	7415.10009765625	19005.208984375	133.20001220703125	6467.0400390625	773.29998779296875	382.25	164.4499969482422	27009.951171875	2419750	AP0301
60655.9609375	54920	55090.80078125	49516	239.2200164794922	1213.3800048828125	106.5300064086914	1752.7200927734375	371.07000732421875	6293.06982421875	1437.6600341796875	1438.9200439453125	1774.0799560546875	7124.669921875	46.80000305175781	2458.6201171875	432.3000183105469	218.35000610351562	146.85000610351562	14026.650390625	4122580.25	AP0301
47176.1796875	44706	32005.201171875	30402	4929.66015625	22728.060546875	150.0800018310547	7434.3203125	724.5	13585.9501953125	2390.219970703125	4040.18994140625	7488.81005859375	7554.330078125	70.20000457763672	13785.66015625	56.10000228881836	63.80000305175781	356.3999938964844	3657.5	869510	AP0301
91275.5234375	75975	50979.00390625	41523	671.22003173828125	5047.92041015625	192.29000854492188	7638.67041015625	697.40997314453125	17284.6796875	3270.330078125	7837.830078125	25229.609375	10770.4794921875	74.4000015258789	5512.8603515625	155.10000610351562	119.35000610351562	100.0999984741211	5387.25	2555870.25	AP0301
66500.984375	58047	51237.00390625	44383	1334.8800048828125	4624.02001953125	69.68000030517578	2527.91015625	301.7699890136719	6228.81005859375	2428.02001953125	2511.179931640625	2358.090087890625	2834.369873046875	150	3520.800048828125	5234.35009765625	2383.150146484375	836	846.45001220703125	1985140.125	AP0301
56862.37109375	52583	27705.6015625	26583	344.52001953125	2974.320068359375	201.6699981689453	5334.5400390625	925.469970703125	7891.3798828125	1837.7099609375	2891.699951171875	3319.469970703125	13199.759765625	108.00000762939453	4385.34033203125	1808.9500732421875	766.1500244140625	248.60000610351562	1382.1500244140625	5106240	AP0301
58364.19140625	53203	41452.203125	38195	5215.3203125	24736.861328125	159.4600067138672	7988.41015625	650.78997802734375	18561.689453125	4212.81005859375	5627.7900390625	8557.2900390625	6587.91015625	144.60000610351562	15189.66015625	3782.35009765625	1554.8499755859375	776.60003662109375	1810.60009765625	1670690.125	AP0301
76801.4453125	65219	53617.203125	43031	456.84002685546875	5448.06005859375	353.760009765625	9684.1806640625	667.16998291015625	27614.16015625	5595.02978515625	7267.68017578125	9263.51953125	13336.4697265625	117.00000762939453	5458.8603515625	480.1500244140625	237.60000610351562	89.6500015258789	5812.39990234375	2315160	AP0301
106873.8359375	93861	47808	41313	197.10000610351562	1976.4000244140625	89.11000061035156	4131.89013671875	788.760009765625	16926.83984375	3111.570068359375	5516.91015625	15127.5595703125	15377.669921875	109.20000457763672	5735.88037109375	506.5500183105469	357.5	100.0999984741211	30131.75	3119780.25	AP0301
77147.3125	67242	23423.400390625	20842	775.98004150390625	2561.760009765625	73.70000457763672	2935.27001953125	718.20001220703125	7183.259765625	2084.669921875	3085.739990234375	7558.10986328125	13241.33984375	129.60000610351562	7193.88037109375	4853.2001953125	1983.85009765625	737	42757	4162880.25	AP0301
