name	FSC-A	FSC-H	SSC-A	SSC-H	APC-A	APC-R700-A	BUV395-A	BUV737-A	BV421-A	BV480-A	BV605-A	BV650-A	BV711-A	BV786-A	FITC-A	NIR-A	PE-A	PE-CF594-A	PE-Cy5-A	PE-Cy7-A	Time
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	116688.0078125	103835	24497.599609375	22155	1262.800048828125	696.6400146484375	33.5	857.60003662109375	317.8499755859375	16212.94921875	8311.5498046875	12083.5	4143.099609375	5457.39990234375	71.37000274658203	1435.8399658203125	697.20001220703125	887.5999755859375	674.79998779296875	1206.239990234375	1115270
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	181599	154851	26950.41015625	23267	258.7200012207031	380.239990234375	68.34000396728516	992.27001953125	638.29998779296875	19266	6221.14990234375	8994.0498046875	5043.349609375	6746.99951171875	87.2300033569336	1727.5999755859375	843.91998291015625	729.67999267578125	472.08001708984375	1019.2000122070312	1122570
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	139668	128207	30964.2109375	27679	554.96002197265625	397.6000061035156	-2.009999990463257	987.58001708984375	382.8499755859375	11178.0498046875	7297.5498046875	10790.6494140625	4297.7998046875	7198.099609375	91.5	1453.199951171875	400.3999938964844	762.72003173828125	480.4800109863281	2158.800048828125	1075140.125
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	127532.40625	115799	18090.76953125	16643	431.760009765625	1145.199951171875	8.710000038146973	2694.739990234375	452.3999938964844	15238.599609375	9190.349609375	15824.2490234375	17148.298828125	7104.49951171875	658.19000244140625	1816.6400146484375	794.6400146484375	992.8800048828125	498.9599914550781	619.3599853515625	500430
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	146347.203125	130337	29922.94140625	28257	-11.199999809265137	676.47998046875	32.15999984741211	871	203.4499969482422	9317.75	6782.099609375	9608.94921875	7070.69970703125	2988.0498046875	376.3699951171875	764.96002197265625	661.3599853515625	809.20001220703125	399.2799987792969	349.44000244140625	798330
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	176445	156429	14673.55078125	13241	705.5999755859375	4575.2001953125	12.0600004196167	7400.150390625	866.449951171875	13938.599609375	11000.599609375	25376	45654.69921875	13270.3994140625	351.9700012207031	4844	712.8800048828125	1291.3599853515625	750.4000244140625	1255.52001953125	217050
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	117162.0078125	104591	21274.970703125	19503	365.67999267578125	255.36000061035156	16.079999923706055	645.8800048828125	503.7499694824219	21448.69921875	6405.75	8533.19921875	3315.64990234375	6594.25	114.68000030517578	1604.9599609375	638.4000244140625	583.52001953125	252	972.1600341796875	910770.0625
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	113218.203125	101246	17814.439453125	15950	598.08001708984375	2071.43994140625	25.46000099182129	3606.610107421875	551.8499755859375	5081.69970703125	7577.0498046875	16056.94921875	23160.798828125	7959.89990234375	82.3499984741211	2384.47998046875	702.79998779296875	934.6400146484375	524.15997314453125	614.32000732421875	1633570
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	134488.203125	119182	32312.919921875	29054	99.68000030517578	958.72003173828125	30.150001525878906	2380.510009765625	313.9499816894531	14162.19921875	7994.99951171875	12556.69921875	13292.5	3565.249755859375	422.7300109863281	1136.800048828125	521.3599853515625	807.52001953125	391.44000244140625	435.67999267578125	864820.0625
data/_raw/CD8_gated_files/export_BC10_CD8+.fcs	90817.8046875	83275	33998.3515625	30927	501.20001220703125	1794.239990234375	50.92000198364258	4340.93017578125	663.64996337890625	23754.25	12041.25	21025.548828125	25364.94921875	11401	411.75	2983.679931640625	530.8800048828125	913.3599853515625	553.84002685546875	715.1199951171875	484970.03125
