FSC-A	FSC-H	SSC-A	SSC-H	CEF Multimer	HLA-DR	CD69	CD38	PD1	CD8	CD27	CD4	CD45RA	CD3	CCR7	Live-Dead	SARS-CoV-2 Multimer	CD39	CD137	CD57	Time	Sample
6.957333340581269	6.800542433825792	6.862826015809626	6.731226344194372	2.213245050846652	3.6253708336442	0.4654147655782973	3.712303493253163	2.0983924604122195	5.822753973766624	4.156230579164341	4.4119850155112985	4.860969444316964	5.11596782599497	0.7264091255356704	4.050946456099442	2.4184456981470888	1.6663722444341753	0.7911718142364336	4.606855315738014	77380	AP0301
7.170488816757358	7.05349427765068	6.4351525082217504	6.3426642753523534	1.2726986316283846	3.8529271480228124	1.0112271329070526	4.221306290154142	2.7597887138072994	5.538371297235652	4.1290244766053075	4.274590558488871	4.0340795381178145	5.017757989429244	0.9368262511033135	4.848497840356962	5.01718244820887	4.15081549593176	2.9258971128655653	6.87916480096986	1906260	AP0301
6.564945233691964	6.438841612722086	6.594579546975961	6.499689046741973	3.9504750835957854	5.536817427777518	1.5378781929194276	5.002004793474052	2.346079680842413	5.638086866889577	5.099657230278494	5.052992007518882	4.894418228807348	4.362593311769666	1.9885446707539416	5.01200677491231	6.581381436400795	5.731038495919706	4.37951345579514	3.6574008470944803	91690.0078125	AP0301
7.117507210107988	7.019011187848099	6.76344277493708	6.694002378393864	2.3478997162044637	4.511542635040529	0.31629951500582243	4.760564898303659	2.7560743660046887	5.78663555822768	4.1325333094541685	4.975511669021491	6.406926282586098	5.663214200433592	0.8177599105994456	5.295610845288646	3.185031248926423	2.548988880791157	1.8054007744376444	7.229399140430301	4427160.5	AP0301
6.878601907095898	6.791162798452762	6.518913525154533	6.429162786235487	0.9343782163760093	2.662062462167479	0.43300803694017975	3.0111152229289075	1.4765952158178655	5.039264722921673	3.4171627665942648	3.725368152974275	4.288058334471477	4.357442047018778	0.43422517167415775	3.143149489583495	1.470441861905666	0.8898334779869671	0.2503758633910365	4.550931055517756	2289430.25	AP0301
6.463736186135887	6.416102947838008	6.549194963633868	6.473707876388686	0.929468873163678	2.78482235103079	0.6167497249055411	3.5589853444166746	1.4432776616107768	4.659872972103284	3.0507564781742675	3.7650430871864864	4.899312235581789	4.268729099026484	0.48121182505960347	3.8116215920765217	2.248156453502787	1.8801618654721792	0.7605333920696157	5.89695263371558	4655530	AP0301
6.705174413239154	6.619239082451299	6.432389539716026	6.351261000351963	1.7240414923440228	3.356077042829157	0.6167497249055411	3.6222496114052123	1.7911538930491804	4.110053973226475	3.4977874381017555	4.298840456130638	3.6225236490981993	4.053365682053065	0.8728628570129859	3.418773841516956	4.517477666427193	3.695246855081573	2.252741033175716	2.1768030985267655	1692000	AP0301
6.448468220990738	6.3890795006698475	6.5421743263062115	6.474633540844012	3.8299126510902846	5.612890298623965	2.2319040982138536	5.66232699844374	2.7426961008166457	6.283831607506697	4.66660957809715	4.825083148323337	4.983886341454909	4.952454268624793	0.9848778750210803	5.186688355220002	2.2872225187481403	1.6379061461766924	1.389114359236346	3.2435694258769714	676150	AP0301
6.535631544357249	6.465753080659215	5.877183328673391	5.829032694957213	3.2740703070637402	4.94454621783954	1.0646370970115646	4.326494709651602	1.3574127081065845	5.467039511332987	4.914530581062528	4.940392689025059	4.275525220377243	3.680464418632437	1.872680470563572	4.464356482869785	6.323640312015171	5.449837357553649	4.145256927974532	3.113475865706688	4124780.25	AP0301
7.198547601590619	7.086716336845738	6.6851931332316035	6.618010640128066	1.4946823157186069	3.816384150773016	1.0169544271162698	4.304901326783659	2.899982352652163	4.592017355621049	4.850246046959136	4.897244597546121	4.062654377655055	4.1784791897617355	1.8471448201760412	3.4272185046601624	6.428308201362569	5.585996021073291	4.20629686502292	3.097408499639785	80220	AP0301
6.283961068811232	6.239889708388986	6.389733357819231	6.3243143834807345	2.937393373397214	4.666225905063519	0.9495395142105507	5.156280755512238	2.7087314042973807	5.644999925499867	3.962613686981792	5.244216292686712	6.721553399061089	5.316589964100693	0.7635992606663392	4.621486743815251	0.6287470708378832	0.6134588095196994	0.6886076888494086	2.6559308187985837	3781230.25	AP0301
7.088721230800748	6.964955324634385	6.433688392967801	6.317384526583213	1.797366206489195	3.582090648438079	0.5790306810544138	3.904174146398177	2.3283943437018126	4.556237250025216	2.9664007129750662	4.104111823763614	5.227541668120415	5.1939871523617995	0.6229249850900263	4.575171754503458	2.4054030148608128	1.8823462652217131	1.165757740606245	6.56517209928852	626960	AP0301
6.663139648453219	6.53607515183399	6.435793966407505	6.348069217959504	3.2792277784303283	4.867396705653874	1.5632650350742636	4.813581638203381	2.95860606714503	4.9228795076590774	3.9083216183914162	4.067554150546311	4.151483010843246	4.964078698810086	1.1239527439726813	4.678477305408579	5.213333624317884	4.360216900194585	3.152710500674139	5.286067956035195	3314340	AP0301
7.200303474274959	7.091398877243224	6.47585415551774	6.333045929929851	1.2949240770969224	3.8597750028351485	1.3152312315085255	4.4202713230278174	2.7597887138072994	5.489803993861878	4.064674916712708	4.103834526513193	3.7785660290655745	4.7137426452653015	0.8353871980805605	4.199038013393956	4.589726472139663	3.635997818834899	2.4553491300080887	5.474149274080838	5433470	AP0301
6.9464617609345245	6.868807609853659	5.679556141561945	5.624030538814523	2.261862720603705	3.9096211502829683	0.7041506337277105	4.157146975376918	2.5780570100279365	4.671337607791537	3.1908358230441727	4.281347110268445	5.594606216655111	5.42063776570579	0.5824962862472969	4.394334975766937	3.2656134006549085	2.4465634360708877	1.558116356946689	4.845507974504273	3667880.25	AP0301
6.875011345751648	6.778209614658488	6.334674363995327	6.249901746593143	2.3424300565921548	3.753304887061092	0.44926670128492935	3.7941182710508126	1.516003243706037	5.10578585958813	3.357914334232396	4.018499271478411	5.112028860523921	4.277391928460415	0.5790875569994656	3.7103980102355227	1.4656290140229828	1.0035371777477307	0.8212039489718732	4.283133116899146	4920080	AP0301
7.708189975701427	7.545122199032656	6.238437889270302	6.07501409772237	2.778157775139602	4.475564674503442	1.2532157546271028	4.68456687749011	2.7003393483666738	5.971982368879129	4.421819435536169	4.768503383926538	5.466755585054164	5.694615777699031	0.9038209753874324	5.138197187826536	3.4960927770036196	2.674214941782736	2.0585965542641893	6.840759437236476	4756380	AP0301
6.706975504431563	6.53087975268405	6.825383059018201	6.621283138784004	4.410470155864	5.945228518746497	1.6931785574738754	5.279857542853293	2.4367526696720567	5.731890526128015	4.07385969506073	4.456814019304776	4.938167594103374	4.917669566109084	0.9822531997438425	5.414422833049126	1.5930323591633955	1.23261721954849	2.298948255631054	3.567245599427987	2023730.125	AP0301
7.545592285531076	7.373207291057073	6.337196972118065	6.181179678912566	2.274397417367092	4.398061166065588	1.631016198633097	4.699634218710246	3.161076373800637	5.850239839178927	5.603931487507611	5.761053265862982	4.905551816767589	5.1707844080481635	2.183869733021942	4.291840408361308	6.753921465182981	5.895641997753081	4.62304769397687	5.443959065509656	5270430	AP0301
6.860246269871409	6.607570505963558	6.361788933112991	6.17098097010475	2.5124786319138446	4.255030942597269	2.1282608139871058	4.03033752201738	2.755542625926796	5.486573541333938	4.49476101738495	4.934367379273358	4.23379478453707	4.742340180602495	0.5653919107216294	4.214796341749762	2.3162880322108497	2.260336632432819	1.512842520496219	3.5265000133824325	1418050.125	AP0301
7.411347290759852	7.300680315861431	5.748051974453476	5.691361345265837	1.9210398502822306	3.636426255601789	0.42074269120618524	3.7817863738658115	2.1145061165504493	5.385887549165501	3.720296380307923	4.193802009403524	4.87350768598268	5.130428206537207	0.7512996335354621	4.310377966858815	3.107603451458816	2.3828389967648995	1.5800697049165557	5.969610559625632	4669220	AP0301
6.269515165778993	6.0974499268352	5.641494033750225	5.448707994198412	2.795832980577323	4.11922348195079	0.7599706637191402	3.505758297652845	2.0452827082659324	4.692880299825007	3.791150978952035	4.03065479537227	3.815116325218313	4.907664429729455	1.0362989519027002	4.116176306745707	5.17964060054947	4.331327226804464	3.2136974397598737	2.983791310811157	1660700	AP0301
6.467810716009974	6.3256516565986916	6.011920048973892	5.8166437221061065	2.8132034337620375	4.573018125962178	0.7218035822677802	3.7463840039384424	1.8610232500489141	4.9958353967129545	3.9510520701484384	4.0668351184451605	3.7330283546015273	3.850914508878789	0.9313801458754345	4.005189520896855	4.953983079624692	4.151854342896585	2.8968615702866525	2.595746414824521	4174100	AP0301
6.768903811004123	6.686511481526752	6.519833607429753	6.454236214436529	3.4185382309755945	5.064708769425761	1.5524570076392288	4.7551207693972035	2.9032027847483546	5.528077271760875	4.564056703842973	4.692341557351362	4.4943857679558334	4.960964592824777	1.183617821421704	4.730300661726088	5.361333033702875	4.4868361161513	3.23178496666664	3.2983378781018575	2043290.125	AP0301
6.736770207002377	6.6362456954675855	6.462832232512396	6.392455785937132	2.149037141273419	3.873331875462718	0.2389204567939815	3.6253459634347127	2.758198525987158	5.024021186672773	5.5347969675006095	5.820962538932492	4.799616538315115	4.735138104690608	2.0581779478932747	3.6471733371243995	6.516511796304258	5.6868060439434345	4.419676106505374	3.419737435940127	1151150	AP0301
6.880291994537925	6.755677141580717	6.5737380544618524	6.480762401317089	2.4961107457230285	4.253190212313588	1.4401118715095798	4.760182516669097	3.0942242023597126	5.927137904793751	5.135778888263706	5.141936271531497	4.455058856872864	4.797470504773995	1.6823063231777355	4.072634486389111	6.130828284729451	5.285585350050694	3.9839333172377964	3.2412808570179754	2948400	AP0301
7.250758952684287	7.1233295670950225	6.664461732642601	6.565360845695961	2.0232189512444516	4.180389148067767	0.7076965237393403	4.4163952047455055	2.6947057264052225	5.841836550535415	4.1630487948579535	4.701689428400539	5.880727351946867	5.74530312457486	0.9663951295124222	5.275336964034928	3.297525865747436	2.575971494833735	1.888872440920808	7.245196157219142	3392160.25	AP0301
7.1240340492538525	6.998912221364052	6.576694396875476	6.4687357935245196	1.7376436952484042	3.737665147664321	0.29068881006698577	3.93326734287671	1.7911538930491804	4.551374303682523	2.907785718857971	4.1864252787283665	5.728973338424348	4.402567312615268	0.42691345412611653	3.9655971262654353	1.5082108743771268	1.0223592696366686	0.34856535794855475	5.546049141803334	3903420	AP0301
